city,county,population,land_size,medium_income,per_capita_income,registered_voter,democratic,republican,no_stations,mile,more_than_12,no_v2,no_urban,no_v3,no_v4,total
Agoura Hills,Los Angeles,20299,7.8,157930,75425,15236,6829,4088,0,0,0,0,0,0,0,0
Alhambra,Los Angeles,82868,7.63,80234,38394,45593,23131,7098,1,0,0,0,0,12,0,12
Arcadia,Los Angeles,56681,10.93,108214,53959,32482,11545,8007,0,0,0,0,0,0,0,0
Artesia,Los Angeles,16395,1.62,92702,29781,8651,4120,1760,0,0,0,0,0,0,0,0
Avalon,Los Angeles,3441,2.9,89131,40655,1812,768,529,0,0,0,0,0,0,0,0
Azusa,Los Angeles,50000,9.66,81516,30180,24138,11892,4819,1,0,1,0,0,16,0,16
Baldwin Park,Los Angeles,72176,6.63,76002,24664,35074,19497,4628,0,0,0,0,0,0,0,0
Bell,Los Angeles,33559,2.51,56685,21024,14545,9105,1369,1,0,0,0,0,8,0,8
Bell Gardens,Los Angeles,39501,2.46,53935,17196,16059,9986,1380,0,0,0,0,0,0,0,0
Bellflower,Los Angeles,79190,6.12,75379,28918,41332,21514,7509,0,0,0,0,0,0,0,0
Beverly Hills,Los Angeles,32701,5.71,116771,103693,22586,9685,5561,0,0,0,0,0,0,0,0
Bradbury,Los Angeles,767,2,158438,92386,612,193,216,0,0,0,0,0,0,0,0
Burbank,Los Angeles,107337,17.32,91455,52513,71179,35281,14609,3,3,2,20,0,32,0,52
Calabasas,Los Angeles,23241,13.71,154079,98625,16940,7758,4111,1,1,1,0,0,20,0,20
Carson,Los Angeles,95558,18.73,103045,36093,62564,36286,8328,0,0,0,0,0,0,0,0
Cerritos,Los Angeles,49578,8.73,124460,51243,35708,15272,8539,1,1,1,0,20,0,0,20
Claremont,Los Angeles,37266,13.34,115091,53395,23560,11686,5621,0,0,0,0,0,0,0,0
Commerce,Los Angeles,12378,6.53,66071,24497,7109,4528,696,2,2,2,0,0,60,0,60
Compton,Los Angeles,95740,10.03,69728,22278,48917,32495,2831,0,0,0,0,0,0,0,0
Covina,Los Angeles,51268,7.04,89650,37234,30642,14197,7622,0,0,0,0,0,0,0,0
Cudahy,Los Angeles,22811,1.18,49596,16472,8917,5534,750,0,0,0,0,0,0,0,0
Culver City,Los Angeles,40779,5.11,114429,75245,28675,18310,3000,2,2,1,16,0,8,0,24
Diamond Bar,Los Angeles,55072,14.87,106881,45516,34234,13054,9021,1,1,1,0,0,24,0,24
Downey,Los Angeles,114355,12.41,84236,35375,65105,34050,13033,2,1,0,0,24,0,0,24
Duarte,Los Angeles,21727,6.71,93908,37833,13288,6585,2755,0,0,0,0,0,0,0,0
El Monte,Los Angeles,109450,9.56,59929,22865,44276,22985,6136,0,0,0,0,0,0,0,0
El Segundo,Los Angeles,17272,5.46,142596,74872,12287,5209,3280,0,0,0,0,0,0,0,0
Gardena,Los Angeles,61027,5.83,75443,33617,35779,21182,4932,0,0,0,0,0,0,0,0
Glendale,Los Angeles,196543,30.48,81219,44298,114315,49462,25558,2,2,2,0,20,16,0,36
Glendora,Los Angeles,52558,19.51,106718,45796,35138,12174,13161,0,0,0,0,0,0,0,0
Hawaiian Gardens,Los Angeles,14149,0.95,73510,23690,6031,3313,804,1,1,1,0,0,32,0,32
Hawthorne,Los Angeles,88083,6.09,72298,32434,43727,26190,4887,2,2,1,0,12,20,0,32
Hermosa Beach,Los Angeles,19728,1.43,149500,106731,14497,6453,3317,1,1,1,0,0,20,0,20
Hidden Hills,Los Angeles,2107,1.7,250000,134423,1370,522,434,0,0,0,0,0,0,0,0
Huntington Park,Los Angeles,54883,3.01,54073,19217,22037,13883,1886,1,0,0,0,0,12,0,12
Industry,Los Angeles,234,11.8,77000,20103,354,180,63,2,2,1,0,0,32,0,32
Inglewood,Los Angeles,107762,9.07,67563,30559,63862,44072,3358,0,0,0,0,0,0,0,0
Irwindale,Los Angeles,1343,8.8,101181,42766,1052,630,162,0,0,0,0,0,0,0,0
La Cañada Flintridge,Los Angeles,20573,8.63,210625,99697,15645,6022,4963,0,0,0,0,0,0,0,0
La Habra Heights,Los Angeles,5682,6.16,179990,89507,4189,1192,1790,0,0,0,0,0,0,0,0
La Mirada,Los Angeles,48008,7.82,104130,39623,31293,12526,10054,0,0,0,0,0,0,0,0
La Puente,Los Angeles,38062,3.48,77702,25451,19065,10996,2511,0,0,0,0,0,0,0,0
La Verne,Los Angeles,31334,8.42,103816,48567,22708,8261,8546,0,0,0,0,0,0,0,0
Lakewood,Los Angeles,82496,9.4,113030,43086,55531,25489,14428,1,0,1,0,0,20,0,20
Lancaster,Los Angeles,173516,94.27,71367,28082,91644,40677,23946,1,1,1,0,0,16,0,16
Lawndale,Los Angeles,31807,1.97,76213,29330,16190,8794,2414,1,1,0,0,0,8,0,8
Lomita,Los Angeles,20921,1.91,87717,46488,12919,5704,3476,0,0,0,0,0,0,0,0
Long Beach,Los Angeles,466742,50.71,78995,39589,274429,147147,45952,2,2,1,0,0,28,0,28
Los Angeles,Los Angeles,3898747,469.49,76224,43527,2152041,1243958,278447,6,6,3,0,26,76,0,102
Lynwood,Los Angeles,67265,4.84,67350,20275,29732,18983,2249,0,0,0,0,0,0,0,0
Malibu,Los Angeles,10654,19.85,186905,120795,8395,3948,1925,2,2,0,0,5,8,0,13
